ID,Name, Number of holes, Latitude, Longitude
268,Bill Frederick Park at Turkey Lake: The Woods,18,28.51,-81.48
269,Binghamton University Disc Golf Course,18,42.09,-75.97
270,Birch Hill Disc Golf Course,18,64.87,-147.65
271,Birch Park,18,42.87,-71.61
272,Birch Ridge Disc Golf Course,18,60.50,-151.00
273,Bird Bay Disc Golf Course,18,27.11,-82.44
274,Birdie Hill Disc Golf Course,18,41.30,-80.75
275,Bird's Nest Disc Park,24,39.82,-105.20
276,Birds of Paradise,27,40.24,-123.82
277,Bird's Ruins Disc Golf Course at Langer Park,19,43.18,-89.08
278,The TRAXX at Bishop Park,18,34.59,-92.51
279,Bismarck State College,18,46.82,-100.82
280,Bittersweet Ridge Disc Golf - North,18,43.86,-70.28
281,Bittersweet Ridge Disc Golf - South,18,43.86,-70.28
282,Bittner Park Disc Golf Course,18,41.33,-72.71
283,Black Bear Disc Golf at Shawnee State Park,18,38.74,-83.20
284,Black Bear Park,18,42.05,-88.23
285,Black Bear,18,45.41,-94.03
286,Black Butte Lake Disc Golf Course,18,39.77,-122.35
287,The Black Course,18,39.94,-80.73
288,Black Diamond Disc Golf Course at Emery Park,18,42.72,-78.59
289,Black Falcon Disc Golf Course,18,43.26,-85.75
290,Black Falls Disc Golf Course,36,44.92,-72.60
291,Black Hills State University,20,44.50,-103.88
292,Black Locust Disc Golf Course at Kensington - Blue,18,42.55,-83.64
293,Black Mountain YMCA,18,35.60,-82.34
294,Black Mountain,18,35.61,-82.33
295,Blackrock Disc Golf Course,18,38.82,-122.72
296,Black Widow Disc Golf Course,18,36.25,-80.20
297,Blackhawk Disc Golf Course,18,47.18,-113.47
298,Blackhawk,18,36.21,-95.90
299,Blackwater Creek at Sandusky Park,18,37.39,-79.20
300,Blackwater Disc Golf Course,18,30.64,-87.05
301,Blackwater Falls State Park Disc Golf Course,18,39.12,-79.50
302,Blanchard Disc Golf Course,18,32.18,-110.87
303,Blarney Stone Disc Golf Course,18,43.29,-78.71
304,Blatnick Park,18,42.81,-73.86
305,Blendon Woods Disc Golf Course,18,40.08,-82.89
306,Blissfest Disc Golf Course,19,45.62,-84.99
307,The Blockhouse - Darkside,18,38.16,-77.65
308,The Blockhouse - Sunnyside,18,38.16,-77.65
309,The Blockhouse - Tiki,18,38.16,-77.65
310,Blodgett Woods,18,44.59,-123.53
311,Bloomington Disc Golf Course,18,38.91,-95.38
312,Bloomsburg Town Park,18,40.99,-76.45
313,Blue Angel Park - Oaks Disc Golf Course,18,30.38,-87.42
314,Blue Angel Park - Palmetto Disc Golf Course,18,30.38,-87.42
315,Blue Angel Park - Pines Disc Golf Course,18,30.38,-87.42
316,Blue Flame at Pickens High School,18,34.90,-82.72
317,Blue Heron,18,39.48,-86.06
318,Blue Lake Disc Golf,18,45.56,-122.44
319,Blue Mountain Resort - Skyline Park,18,40.81,-75.52
320,Blue Mountain Resort - Valley Park,18,40.81,-75.52
321,Blue Mountain,18,46.84,-114.11
322,Blue Ribbon Pines Disc Golf Course,27,45.34,-93.22
323,Prairie Pass,18,38.83,-94.69
324,Blue Valley Park,18,39.08,-94.51
325,Blueberry Hill Estate and Day Spa,18,38.56,-86.44
326,Bluffton Village Hospital Disc Golf Course,18,40.88,-83.88
327,Boardman Park Disc Golf Course,18,41.02,-80.65
328,Bob Bryant Park,18,30.12,-97.34
329,Bob Mays Park,18,39.96,-91.39
330,Bob Mowery's Meadows at Clinton Lake State Park,18,38.94,-95.37
331,Bob Rodgers Memorial Disc Golf at Sam Houston Jones State Park,18,30.30,-93.26
